year,date,rank,team,games,win,loss,draw,win_rate,gb,last10,streak,home,away
2025,20250921,8,KIA,136,62,70,4,0.470,20,4승0무6패,1패,33-2-31,29-2-39
2025,20250921,9,두산,137,57,74,6,0.435,24.5,1승0무9패,2패,27-4-38,30-2-36
2025,20250921,10,키움,139,47,88,4,0.348,36.5,6승0무4패,1승,23-2-43,24-2-45
2025,20251004,1,LG,144,85,56,3,0.603,0,4승0무6패,3패,41-1-29,44-2-27
2025,20251004,2,한화,144,83,57,4,0.593,1.5,5승1무4패,1패,44-2-27,39-2-30
2025,20251004,3,SSG,144,75,65,4,0.536,9.5,6승0무4패,2패,38-4-31,37-0-34
2025,20251004,4,삼성,144,74,68,2,0.521,11.5,7승0무3패,1패,41-0-30,33-2-38
2025,20251004,5,NC,144,71,67,6,0.514,12.5,9승0무1패,9승,36-1-34,35-5-33
2025,20251004,6,KT,144,71,68,5,0.511,13,5승1무4패,1승,36-2-35,35-3-33
2025,20251004,7,롯데,144,66,72,6,0.478,17.5,2승0무8패,3패,35-4-34,31-2-38
2025,20251004,8,KIA,144,65,75,4,0.464,19.5,4승0무6패,2승,35-2-34,30-2-41
2025,20251004,9,두산,144,61,77,6,0.442,22.5,5승0무5패,2승,29-4-40,32-2-37
2025,20251004,10,키움,144,47,93,4,0.336,37.5,3승0무7패,5패,23-2-46,24-2-47
